input,output,instruction
What are the symptoms of Conjunctivitis?,"Redness (hyperaemia), irritation (chemosis) and watering (epiphora) of the eyes are symptoms common to all forms of conjunctivitis. Additionally, symptoms vary based on the specific type of conjunctivitis:
Allergic conjunctivitis: Main article: Allergic conjunctivitis Allergic conjunctivitis is typically itchy, sometimes distressingly so, and often involves some eye swelling. Chronic allergy often causes just itching or irritation. Allergic conjunctivitis often causes pale watery swelling of the conjunctiva and sometimes the whole eyelid. There is frequently a sticky mucus discharge, and there is variable redness. Viral conjunctivitis: Viral conjunctivitis is often associated with an infection of the upper respiratory tract, a common cold, and/or a sore throat. Its symptoms include watery discharge and variable itch. The infection usually begins with one eye, but may spread easily to the other. Viral conjunctivitis is commonly known as ""pink eye."" Bacterial conjunctivitis: Bacterial conjunctivitis due to the common pyogenic (pus-producing) bacteria causes marked grittiness/irritation and a stringy, opaque, grey or yellowish mucopurulent discharge (mucus, gowl, goop, gunk, eye crust, or other regional names, officially known as' gound') that may cause the lids to stick together (matting), especially after sleeping. Another symptom that could be caused by bacterial conjunctivitis is severe crusting of the infected eye and the surrounding skin. However, discharge is not essential to the diagnosis, contrary to popular belief. Bacteria such as Chlamydia trachomatis or Moraxella can cause a non-exudative but persistent conjunctivitis without much redness. The gritty and/or scratchy feeling is sometimes localized enough for patients to insist they must have a foreign body in the eye. The more acute pyogenic infections can be painful. Like viral conjunctivitis, it usually affects only one eye but may spread easily to the other eye. However, it is dormant in the eye for three days before the patient shows signs of symptoms. Chemical conjunctivitis: Irritant or toxic conjunctivitis is irritable or painful when the infected eye is pointed far down or far up. Discharge and itch are usually absent. It show primarily marked redness. This is the only group in which severe pain may occur.",Answer this question truthfully
What causes atrioventricular canal defect?,"The exact cause of an atrioventricular canal defect is unknown. There is some evidence to suggest a genetic component, especially in relation to Down syndrome as many Down syndrome patients have heart defects at birth.",Answer this question truthfully
What are the symptoms of Scleroderma?,"Some types of scleroderma affect only the skin, while others affect the whole body.
Localized scleroderma usually affects only the skin on the hands and face. It develops slowly, and rarely, if ever, spreads throughout the body or causes serious complications. Systemic scleroderma, or sclerosis, may affect large areas of skin and organs such as the heart, lungs, or kidneys. There are two main types of systemic scleroderma: Limited disease (CREST syndrome) and diffuse disease.
Skin symptoms of scleroderma may include:
Fingers or toes that turn blue or white in response to hot and cold temperatures (See: Raynaud's phenomenon) Hair loss Skin hardness Skin that is abnormally dark or light Skin thickening, stiffness, and tightness of fingers, hands, and forearm Small white lumps beneath the skin, sometimes oozing a white substance that looks like toothpaste Sores (ulcers) on the fingertips or toes Tight and mask-like skin on the face
Bone and muscle symptoms may include:
Joint pain Numbness and pain in the feet Pain, stiffness, and swelling of fingers and joints Wrist pain
Breathing problems may result from scarring in the lungs and can include:
Dry cough Shortness of breath Wheezing
Digestive tract problems may include:
Bloating after meals Constipation Diarrhea Difficulty swallowing Esophageal reflux or heartburn Problems controlling stools (fecal incontinence)",Answer this question truthfully
What causes Candida esophagitis?,Candida esophagitis is caused by the yeast Candida. It occurs when the yeast spreads from the mouth down the esophagus.,Answer this question truthfully
What to expect if I have Prostatitis  (Outlook/Prognosis)?,"Acute prostatitis should clear up completely with medicine and minor changes to your diet and behavior.
Acute prostatitis may come back or turn into chronic prostatitis.",Answer this question truthfully
When to seek urgent medical care when I have Salivary gland tumors ?,"Call your health care provider if:
You have pain when eating or chewing You notice a lump in the mouth, under the jaw, or in the neck that does not go away in 2 - 3 weeks or is getting larger",Answer this question truthfully
What to expect if I have Ringworm  (Outlook/Prognosis)?,"Skin medicine usually treats ringworm within 4 weeks. If your ringworm infection is severe or it does not respond well to self-care, it will usually respond quickly to antifungal pills.",Answer this question truthfully
Who is at highest risk for Carcinoid syndrome ?,"Carcinoid tumor (patient information)| Carcinoid tumors patients are at risk of carcinoid syndrome. Such patients are more likely to experience this syndrome if they have a gastrointestinal carcinoid tumor, especially if it has metastasized i.e spread to the liver.",Answer this question truthfully
When to seek urgent medical care when I have Transposition of the great vessels ?,"Most often, this condition is diagnosed during routine examination. This condition can also be diagnosed before birth using a fetal echocardiogram. If not, it is usually diagnosed soon after a baby is born. Call your infant's health care provider if the baby seems to be having difficulty breathing, if your baby's skin develops a bluish color, especially in the face or trunk. or if the baby seems to have an unusual number of respiratory infections.
Contact your health care provider if your baby has this condition and new symptoms develop, get worse, or continue after treatment.",Answer this question truthfully
What to expect if I have Hurler syndrome  (Outlook/Prognosis)?,"Hurler syndrome is a disease with a poor outlook. Children with this disease develop nervous system problems, and can die young.",Answer this question truthfully
When to seek urgent medical care when I have Chronic cystic mastitis ?,"Call your health care provider if:
You find new or different lumps during your breast self exam
You have new discharge from the nipple or any discharge that is bloody or clear
You have redness or puckering of the skin, or flattening or indentation of the nipple",Answer this question truthfully
When to seek urgent medical care when I have Premenstrual dysphoric disorder ?,"Call 911 or a local crisis line immediately if you are having suicidal thoughts.
Call for an appointment with your health care provider if:
Symptoms do not improve with self-treatment Symptoms interfere with your daily life",Answer this question truthfully
What to expect if I have Imperforate anus  (Outlook/Prognosis)?,"With treatment, the outcome of imperforate anus is usually good. The prognosis depends on primary fecal continence.",Answer this question truthfully
What are the symptoms of Ventricular tachycardia?,"If the heart rate during a ventricular tachycardia episode is very fast or lasts longer than a few seconds there may be symptoms such as:
Chest discomfort (angina) Fainting (syncope) Light-headedness or dizziness Sensation of feeling the heart beat (palpitations) Shortness of breath
Note: Symptoms may start and stop suddenly. In some cases, there are no symptoms.",Answer this question truthfully
What to expect if I have Beckwith-Wiedemann syndrome  (Outlook/Prognosis)?,"Children with Beckwith-Wiedemann syndrome who survive infancy do well, although no long-term follow-up information is available. Mental development appears to be normal to very slightly decreased. Swelling of the tongue can cause problems with feeding and sleeping.",Answer this question truthfully
What causes Salivary gland tumors?,"The salivary glands are located around the mouth. They produce saliva, which moistens food to help with chewing and swallowing.
Saliva contains enzymes that begin the digestion process, and help cleanse the mouth by washing away bacteria and food particles. By keeping the mouth moist, saliva helps to keep dentures, retainers, or other orthodontic appliances in place.
There are three pairs of major salivary glands. The largest are the parotid glands, located in each cheek over the jaw in front of the ears. Two submandibular glands are at the back of the mouth on both sides of the jaw. Two sublingual glands are under the floor of the mouth. There are also thousands of minor salivary glands around the rest of the mouth.
All of the salivary glands empty saliva into the mouth through ducts that open at various locations in the mouth.
Swelling of the salivary glands is most commonly due to:
Abdominal surgery Cirrhosis of the liver Infections Other cancers Salivary duct stones Salivary gland infections Sarcoidosis Sjogren syndrome
The most common type of salivary gland tumor is a slow-growing noncancerous (benign) tumor of the parotid gland that gradually increases the size of the gland. However, some of these tumors can be cancerous (malignant).
Malignant salivary gland tumors are usually carcinomas.",Answer this question truthfully
What are the symptoms of Squamous cell carcinoma?,"General appearance is a rough, flat reddish patch, but special attention needs to be given to the following:
Any new growth
A mark or bump that is increasing in size
A sore or ulcer that doesn't heal within three months
Many skin problems can cause lesions that are similar in appearance to squamous cell carcinoma. A dermatologist will need to assess the lesion to confirm the exact nature of it. Any person with suspicious skin markings and changes should seek help from a dermatologist immediately to ensure that it is diagnosed and treated as early as possible. Conditions with symptoms similar to sqaumous cell carcinoma are:
Eczema
Condyloma acuminata or genital warts
Skin ulcer
Keratoacanthoma",Answer this question truthfully
How common are head and neck cancers?,"Head and neck cancers account for approximately 4% of all cancers in the United States. These cancers are more than twice as common among men as they are among women. Head and neck cancers are also diagnosed more often among people over age 50 than they are among younger people.
Researchers estimated that more than 65,000 men and women in this country would be diagnosed with head and neck cancers in 2017.",Answer this question truthfully
What to expect if I have Antithrombin III deficiency  (Outlook/Prognosis)?,Most patients have a good outcome if they stay on anticoagulant medications.,Answer this question truthfully
Who Can Volunteer at WikiDoc?,"WikiDoc welcomes everyone from all over the world to join our team. You do not have to be a doctor in order to apply for this position. Below is a list of WikiDoc contributors:
Clinical Trialist Donor / Philanthropist Fellow Fellowship Program Director / Chief of a Subspecialty Group General Practitioner High School Student Hospital Administrator Hospitalist Intern Layperson Medical Student Nurse Nurse Practitioner Nursing Student Patient Pharmacist Physician Assistant Pre-Medical Student Researcher Research Institute Director Residency Program Director / Chairman of Medicine Resident Retired physician Specialist Doctor",Answer this question truthfully
What are the symptoms of Dressler's syndrome?,"Anxiety Chest pain May come and go (recur) Pain may be sharp and stabbing (pleuritic) or tight and crushing (ischemic) Pain may get worse when breathing and may go away when you stand or sit up Pain moves to the neck, shoulder, back, or abdomen Difficulty breathing Dry cough Fast heart rate (tachycardia) Fatigue Fever (more common with the second type of pericarditis) Malaise (general ill feeling) Splinting of ribs (bending over or holding the chest) with deep breathing",Answer this question truthfully
What are the symptoms of Shwachman-Diamond syndrome?,"The major function of bone marrow is to produce new blood cells. These include red blood cells, which carry oxygen to the body's tissues; white blood cells, which fight infection; and platelets, which are necessary for normal blood clotting. In Shwachman-Diamond syndrome, the bone marrow malfunctions and does not make some or all types of white blood cells. A shortage of neutrophils, the most common type of white blood cell, causes a condition called neutropenia. Most people with Shwachman-Diamond syndrome have at least occasional episodes of neutropenia, which makes them more vulnerable to infections such as pneumonia, recurrent ear infections (otitis media), and skin infections. Less commonly, bone marrow abnormalities lead to a shortage of red blood cells (anemia), which causes fatigue and weakness, or a reduction in the amount of platelets (thrombocytopenia), which can result in easy bruising and abnormal bleeding.
Shwachman-Diamond syndrome also affects the pancreas, which is an organ that plays an essential role in digestion. One of this organ's main functions is to produce enzymes that help break down and use the nutrients from food. In most infants with Shwachman-Diamond syndrome, the pancreas does not produce enough of these enzymes. This condition is known as pancreatic insufficiency. Infants with pancreatic insufficiency have trouble digesting food and absorbing nutrients that are needed for growth. As a result, they often have fatty, foul-smelling stools (steatorrhea); are slow to grow and gain weight (failure to thrive); and experience malnutrition. Pancreatic insufficiency often improves with age in people with Shwachman-Diamond syndrome.
Skeletal abnormalities are another common feature of Shwachman-Diamond syndrome. Many affected individuals have problems with bone formation and growth, most often affecting the hips and knees. Low bone density is also frequently associated with this condition. Some infants are born with a narrow rib cage and short ribs, which can cause life-threatening problems with breathing. The combination of skeletal abnormalities and slow growth results in short stature in most people with this disorder.
The complications of this condition can affect several other parts of the body, including the liver, heart, endocrine system (which produces hormones), eyes, teeth, and skin. Additionally, studies suggest that Shwachman-Diamond syndrome may be associated with delayed speech and the delayed development of motor skills such as sitting, standing, and walking.",Answer this question truthfully
What are the symptoms of Hereditary hemorrhagic telangiectasia?,"Frequent nosebleeds in children GI bleeding, including loss of blood in the stool or dark black stools Port-wine stain Seizures or unexplained, small strokes (from bleeding into the brain) Shortness of breath Telangiectases on the tongue, lips, nasal mucosa, face, ears, fingertips, nails, whites of the eyes, and skin (they may bleed easily)",Answer this question truthfully
What causes Miscarriage?,"Most miscarriages are caused by chromosome problems that make it impossible for the baby to develop. Usually, these problems are unrelated to the mother or father's genes.
Other possible causes for miscarriage include:
Drug and alcohol abuse Exposure to environmental toxins Hormone problems Infection Obesity Physical problems with the mother's reproductive organs Problem with the body's immune response Serious body-wide (systemic) diseases in the mother (such as uncontrolled diabetes) Smoking
It is estimated that up to half of all fertilized eggs die and are lost (aborted) spontaneously, usually before the woman knows she is pregnant.
Among those women who know they are pregnant, the miscarriage rate is about 15-20%. Most miscarriages occur during the first 7 weeks of pregnancy. The rate of miscarriage drops after the baby's heart beat is detected.",Answer this question truthfully
When to seek urgent medical care when I have Placenta previa ?,"Call your health care provider if you have bleeding from the vagina at any point in your pregnancy.
Placenta previa can be dangerous to both you and your baby.",Answer this question truthfully
Who is at highest risk for Gout ?,"Hypertension Diabetes Hypercholesterolemia Overweight Alcohol abuse Foods that are rich in purines, such as salmon, sardines, organ meats, asparagus, mushrooms and herring. Medications such as hydrochlorothiazide, niacin, aspirin, cyclosporine, pyrazinamide and ethambutol, and some drugs used to treat cancer. Family history of gout Male, or female after menopause",Answer this question truthfully
When to seek urgent medical care when I have Buerger%27s disease ?,Call your health care provider if symptoms of Buerger's disease develop.,Answer this question truthfully
How Do I Place an .SVG on a Page?,"The following is a list of steps to allow you place an.SVG in a page on WikiDoc:
Code in MediaWiki Result <img src=""<YOUR IMAGE URL>"" style=""width:200px;height:200px;"" /> For example, <img src=""http://static.wikidoc.org/1/10/Help-1.svg"" style=""width:200px;height:200px;"" />",Answer this question truthfully
What causes Retropharyngeal abscess?,Infected material (pus) builds up in the space around the tissues at the back of the throat. This can occur during or immediately after a throat infection.,Answer this question truthfully
What are the symptoms of gallbladder cancer?,"Because the gallbladder is located deep inside the body, your doctor cannot see or feel tumors during a routine physical exam. Therefore, it is hard to diagnose gallbladder cancer early. Sometimes, gallbladder cancers are found unexpectedly after removal of the gallbladder for other reasons, such as gallstones. As the cancer progresses, people may notice one or more symptoms as the following:
Jaundice: Is a yellowing of the sclera and skin. Normally, bilirubin is made in the liver and the liver excretes it into bile. Then bile goes into the intestines eventually leaving the body in the stool. Once the common bile duct becomes blocked, bile can't reach the intestines, and the level of bilirubin builds up. If the bile duct is blocked, bilirubin cannot get through to the intestines then stools may become lighter in color. Abdominal pain: Experiencing abdominal pain due to gallbladder cancer is because advanced gallbladder cancer start to compress other nearby organs. The pain may be constant or it may come and go. Gallbladder enlargement or lump in abdomen: Is because the cancer blocks the bile duct and bile builds up in the gallbladder to enlarge. Sometimes a doctor can feel this enlargement during the physical exam Digestive problems: Patients with gallbladder cancer are unable to digest fatty foods when cancer blocks the release of the bile into the intestine. This can cause nausea and vomiting that tend to be worse after eating. Undigested fat may cause stools to be pale, bulky, and greasy. Weight loss and marasmus, poor appetite: Unintended or unexpected weight loss is very common in patients with gallbladder cancer. These people also complain of being very tired and having little or no appetite.
Other health problems such as gallstones, hepatitis, and other pancreatic diseases may also cause these symptoms. Only a doctor can tell for sure. A person with any of these symptoms should tell his/her doctor so that problems can be diagnosed and treated as early as possible.",Answer this question truthfully
When to seek urgent medical care when I have Ondine%27s curse ?,"Call for an appointment with your health care provider if symptoms of this disorder develop.
Seek urgent medical care if bluish skin (cyanosis) occurs.",Answer this question truthfully
When to seek urgent medical care when I have Bicuspid aortic stenosis ?,"Call your health care provider if your baby:
Has no appetite Has unusually pale or bluish skin Seems to tire easily",Answer this question truthfully
"What Are The Qualifications To Be An ""Expert""?","Criteria would include publications of textbooks and manuscripts relevant to the topic. Priority would be given to original, peer-reviewed publications. Clinical experts with an extensive list of review articles would qualify as well.",Answer this question truthfully
Who is at highest risk for McCune-Albright syndrome ?,This disease is not inherited. It is caused by a new change (mutation) to the DNA that occurs in the womb while the baby is developing. This mutation is not passed on to any of the person's children.,Answer this question truthfully
What are the symptoms of Amyotrophic lateral sclerosis?,"Symptoms usually do not develop until after age 50, but they can start in younger people.
Persons with ALS have a loss of muscle strength and coordination that eventually gets worse and makes it impossible to do routine tasks such as going up steps, getting out of a chair, or swallowing.
Breathing or swallowing muscles may be the first muscles affected. As the disease gets worse, more muscle groups develop problems.
ALS does not affect the senses (sight, smell, taste, hearing, touch). It only rarely affects bladder or bowel function, or a person's ability to think or reason.
Symptoms include:
Difficulty breathing Difficulty swallowing Choking easily Drooling Gagging Head drop due to weakness of the neck muscles Muscle cramps Muscle contractions called fasciculations Muscle weakness that slowly gets worse Commonly involves one part of the body first, such as the arm or hand Eventually leads to difficulty lifting, climbing stairs, and walking Paralysis Speech problems, such as a slow or abnormal speech pattern (slurring of words) Voice changes, hoarseness Weight loss",Answer this question truthfully
What are the symptoms of AIDS?,"The symptoms of AIDS are primarily the result of infections that do not normally develop in individuals with healthy immune systems. These are called opportunistic infections. People with AIDS have had their immune system weakened by HIV and are very susceptible to these opportunistic infections. Some people with HIV infection remain without symptoms for years between the time the are exposed to the virus and when they develop AIDS. Initial infections can present sometimes with Flu like symptoms.
Fevers
Sweats (particularly at night),
Swollen glands, chills, weakness
Weight loss
Sore throat
Diarrhea
Mouth sores including yeast infections.",Answer this question truthfully
Who needs an Amputation?,"Reasons for having an amputation of a lower limb are:
Severe trauma to the limb that is caused by an accident Poor blood flow to the limb Infections that do not go away or become worse and cannot be controlled or healed Tumors of the lower limb Severe burns or severe frostbite Wounds that do not heal",Answer this question truthfully
What causes Polydipsia?,"A recent salty or spicy meal Bleeding enough to cause a significant decrease in blood volume Diabetes Diabetes insipidus Drugs such as anticholinergics, demeclocycline, diuretics, phenothiazines Excessive loss of water and salt (possibly due to not drinking enough water, profuse sweating, diarrhea, or vomiting) Loss of body fluids from the bloodstream into the tissues due to: Conditions such as severe infections (sepsis) or burns Heart, liver, or kidney failure Psychogenic polydipsia, the result of a mental disorder",Answer this question truthfully
When to seek urgent medical care when I have Angioma ?,"Call your health care provider if symptoms of an angioma develop. If you experience either of the following symptoms, seek urgent medical care as soon as possible:
Secondary infection of a skin angioma Local severe pain: such as severe headache, severe abdominal pain.",Answer this question truthfully
What are the symptoms of Cytomegalovirus?,"Symptoms of CMV can be:
Sore throat Swollen lymph nodes:(lymph glands) Fever Headache Fatigue Weakness Muscle aches Loss of appetite
Severe CMV:
Blindness Pneumonia Diarrhea Bleeding ulcers in the esophagus (windpipe) or intestines Inflammation of the brain (encephalitis) Seizures",Answer this question truthfully
What to expect if I have Creutzfeldt-Jakob disease  (Outlook/Prognosis)?,"The outcome is usually very poor. Within 6 months or less of the onset of symptoms, the person will become incapable of self-care.
The disorder is fatal in a short time, usually within 8 months, but a few people survive as long as 1 or 2 years after diagnosis.
The cause of death is usually infection, heart failure, or respiratory failure.",Answer this question truthfully
Who is at risk for Van der Woude syndrome?,"Individuals with parents that carry a mutation in IRF6 gene are at risk. This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition. Occasionally, an individual who has a copy of the altered gene does not show any signs or symptoms of the disorder.",Answer this question truthfully
When to seek urgent medical care when I have Social phobia ?,Call your health care provider or mental health professional if fear is affecting your work and relationships with others.,Answer this question truthfully
What causes Genital wart?,"The virus that causes genital warts is called human papilloma virus (HPV). More than 70 different types of HPV exist.
Several types of HPV cause genital warts, which may be found on the penis, vulva, urethra, vagina, cervix, larynx, and around and in the anus. Other types of HPV cause common or flat warts on other parts of the skin, such as the hands. However, warts on the hands or other parts of the body do not cause genital warts.
HPV infection around the genitals is common, although most people have no symptoms. Even if you do NOT have symptoms, however, you must be treated to prevent complications and spreading the condition to others. In women, HPV can invade the walls of the vagina and cervix. These warts are flat and not easy to see without special procedures. Certain types of HPV can lead to precancerous changes in the cervix, cervical cancer, or anal cancer. These are called high-risk types of HPV. The following are important facts about how HPV and genital warts can be spread:
HPV infection is passed from one person to another through sexual contact involving the skin of the anus, mouth, or vagina, or the mucus membrane. It is possible for genital warts and HPV to spread, even when no warts can be seen. You may not see warts for at least 6 weeks to 6 months after becoming infected with HPV. It may also take longer, even years, so when you first notice genital warts, it does not mean that you or your partner has had sexual contact with someone outside of your relationship. Not everyone who has been exposed to the HPV virus and genital warts wil develop them.
The following factors put you at higher risk for getting genital warts, having them spread more quickly, having them return, or having other complications of HPV:
Having multiple sexual partners Not knowing whether someone you had sex with had STIs Becoming sexually active at an early age Using tobacco and alcohol Having stress and other viral infections (such as herpes) at the same time Being pregnant Having an immune system that does not work well, such as during cancer treatment or AIDS
If a child has genital warts, you should suspect sexual abuse as a possible cause.",Answer this question truthfully
What causes Anemia?,"While many parts of the body help make red blood cells, most of the work is done in the bone marrow. Bone marrow is the soft tissue in the center of bones that helps form blood cells.
Healthy red blood cells last between 90 and 120 days. Parts of your body then remove old blood cells. A hormone called erythropoietin made in your kidneys signals your bone marrow to make more red blood cells.
Hemoglobin is the oxygen-carrying protein inside red blood cells. It gives red blood cells their red color. People with anemia do not have enough hemoglobin.
Possible causes of anemia include:
Certain medications Chronic diseases such as cancer, ulcerative colitis, or rheumatoid arthritis Genetis: Some forms of anemia, such as thalassemia, can be inherited Kidney failure Blood loss (for example, from heavy menstrual periods or stomach ulcers) Poor diet Pregnancy Problems with bone marrow such as lymphoma, leukemia, or multiple myeloma Problems with the immune system that cause the destruction of blood cells (hemolytic anemia) Surgery to the stomach or intestines that reduces the absorption of iron, vitamin B12, or folic acid Too little thyroid hormone (underactive thyroid, or hypothyroidism) Testosterone deficiency",Answer this question truthfully
What are the symptoms of parathyroid cancer?,"Symptoms of parathyroid cancer are mainly caused by a high level of calcium in the blood (hypercalcemia), and may affect different parts of the body. They include:
Bone pain Constipation Fatigue Fractures Frequent thirst Frequent urination Kidney stones Muscle weakness Nausea Poor appetite Vomiting",Answer this question truthfully
What are the symptoms of (condition)?,"These conditions cause mucopolysaccharides to build up in body tissues. This can damage organs, including the heart. Symptoms can range from mild to severe and may include:
Abnormal features of the face Bone, cartilage, and connective tissue deformities Mental retardation",Answer this question truthfully
What causes Pick's disease?,"People with Pick's disease have abnormal substances (called Pick bodies and Pick cells) inside nerve cells in the damaged areas of the brain.
Pick bodies and Pick cells contain an abnormal form of a protein called tau. This protein is found in all nerve cells. But some people with Pick's disease have an abnormal amount or type of this protein.
The exact cause of the abnormal form of the protein is unknown. Many different abnormal genes have been found that can cause Pick’s disease. Many cases of Pick's disease are passed down through families.
Pick's disease is rare. It can occur in people as young as 20, but usually begins between ages 40 and 60. The average age at which it begins is 54.",Answer this question truthfully
What are the symptoms of Pemphigus?,"About 50% of people with this condition first develop painful blisters and sores in the mouth, followed by skin blisters. Skin sores may come and go.
The skin sores may be described as:
Draining Oozing Crusting Peeling or easily detached
They may be located:
In the mouth On the scalp, trunk, or other skin areas",Answer this question truthfully
What causes Escherichia coli enteritis?,"The main bacteria that cause gastroenteritis used to be called Escherichia coli (E. coli). Although there are strains of E. coli that normally inhabit the human gastrointestinal tract in all humans, the strains that cause enteritis are different from the strains that normally inhabit the gastrointestinal tract.",Answer this question truthfully
When to seek urgent medical care when I have Familial mediterranean fever ?,Call your health care provider if you or your child develop symptoms of this condition.,Answer this question truthfully
What causes Atopic dermatitis?,"Atopic dermatitis is due to a skin reaction (similar to an allergy) in the skin. The reaction leads to ongoing swelling and redness. People with atopic dermititis may be more sensitive because their skin lacks certain proteins.
Atopic dermatitis is most common in infants. It may start as early as age 2 to 6 months. Many people outgrow it by early adulthood.
People with atopic dermatitis often have asthma or seasonal allergies. There is often a family history of allergies such as asthma, hay fever, or eczema. People with atopic dermatitis often test positive to allergy skin tests.
The following can make atopic dermatitis symptoms worse:
Allergies to pollen, mold, dust mites, or animals Cold and dry air in the winter Colds or the flu Contact with irritants and chemicals Contact with rough materials, such as wool Dry skin Emotional stress Drying out of the skin from taking too many baths or showers and swimming too often Getting too hot or too cold, as well as sudden changes of temperature Perfumes or dyes added to skin lotions or soaps",Answer this question truthfully
What are the symptoms of Chronic fatigue syndrome?,"Symptoms of CFS are similar to those of the flu and other common viral infections, and include muscle aches, headache, and extreme fatigue. However, symptoms of CFS last for 6 months or more.
The main symptom of CFS is extreme tiredness (fatigue), which is:
New Lasts at least 6 months Not relieved by bed rest Severe enough to keep you from participating in certain activities
Other symptoms include:
Feeling extremely tired for more than 24 hours after exercise that would normally be considered easy Feeling unrefreshed after sleeping for a proper amount of time Forgetfulness Concentration problems Confusion Joint pain but no swelling or redness Headaches that differ from those you have had in the past Irritability Mild fever (101 degrees F or less) Muscle aches (myalgias) Muscle weakness, all over or multiple locations, not explained by any known disorder Sore throat Sore lymph nodes in the neck or under the arms",Answer this question truthfully
What are the symptoms of Failure to thrive?,"Infants or children who fail to thrive have a height, weight, and head circumference that do not match standard growth charts.
The person's weight falls lower than 3rd percentile (as outlined in standard growth charts) or 20% below the ideal weight for their height.
Growing may have slowed or stopped after a previously established growth curve.
The following are delayed or slow to develop:
Physical skills such as rolling over, sitting, standing and walking Mental and social skills Secondary sexual characteristics (delayed in adolescents)",Answer this question truthfully
What causes Nasopharyngeal carcinoma?,People who smoke or use tobacco are at risk of developing throat cancer. Excessive alcohol use also increases risk. Smoking and drinking alcohol combined lead to an increased risk for throat cancers.,Answer this question truthfully
What causes Leptospirosis?,"The Leptospira bacteria can be found in fresh water that has been contaminated by animal urine. The infection occurs in warmer climates.
Leptospirosis is not spread from person to person, except in vary rare cases. It occasionally spreads through sexual intercourse, breast milk, or from a mother to her unborn child.
Risk factors include:
Occupational exposure -- farmers, ranchers, slaughterhouse workers, trappers, veterinarians, loggers, sewer workers, rice field workers, and military personnel Recreational activities -- fresh water swimming, canoeing, kayaking, and trail biking in warm areas Household exposure -- pet dogs, domesticated livestock, rainwater catchment systems, and infected rodents
Leptospirosis is rare in the continental United States. Hawaii has the highest number of cases in the United States. Recent out break of leptospirosis is reported in Bronx, New York and found 3 cases in the months January and February, 2017.",Answer this question truthfully
Who is at highest risk for Strabismus ?,"A family history of strabismus is a risk factor. Farsightedness may be a contributing factor, especially in children. Any other disease that causes vision loss may also cause strabismus.",Answer this question truthfully
