input,Correct Answer,Correct Option,source
"A 16-year-old girl is brought to the office by her mother because she is concerned that she may have contracted meningitis from her soccer teammate, who was diagnosed with meningococcal meningitis and admitted to the hospital yesterday. The patient's soccer team traveled to a neighboring state to participate in a tournament 1 week ago and she shared a hotel room with the girl who was hospitalized. The patient feels well but is concerned she may have ""caught the same bug."" Medical history is remarkable for asthma. Medications include inhaled albuterol. Vital signs are temperature 37.2°C (98.9°F), pulse 64/min, respirations 16/min, and blood pressure 107/58 mm Hg. Physical examination shows no abnormalities. Which of the following is the most appropriate intervention for this patient at this time?

A. Administer the meningococcal vaccine
B. Prescribe doxycycline
C. Prescribe penicillin
D. Prescribe rifampin",Prescribe rifampin,D,Professional Medicine
"A 9-year-old boy is brought to the physician because of progressive weakness and a purple-red discoloration over his cheeks and upper eyelids over the past 8 weeks. His symptoms began shortly after a camping trip, and he now is unable to climb stairs, walk long distances, comb his hair, or dress himself. His mother says that she was careful to apply his sunscreen on the trip and can recall no tick bites or exposure to poisonous plants. His only medication is a topical corticosteroid for several dry, scaly patches of the skin. He appears weak and lethargic. He is at the 75th percentile for height and 25th percentile for weight; he has had no change in his weight since his last examination 9 months ago. His temperature is 37.7°C (99.8°F), blood pressure is 110/68 mm Hg, pulse is 105/min, and respirations are 28/min. Examination of the skin shows a purple-red discoloration over the cheeks and eyelids, periorbital edema, erythematous plaques and scales over the elbows and knees, and flat-topped red papules over all knuckles. There is generalized weakness and atrophy of the proximal muscles. Which of the following is the most likely diagnosis?

A. Dermatomyositis
B. Duchenne's muscular dystrophy
C. Eczema
D. Lyme disease",Dermatomyositis,A,Professional Medicine
"A 40-year-old female secretary comes to the office because of a 2-month history of fatigue, and generalized aching and weakness of the proximal muscles of all four extremities. The patient initially noticed the weakness only while she was getting in and out of her car, but during the past 2 weeks, the weakness has progressed, so that she now has difficulty combing her hair. Since the symptoms began, she also has had aching of the joints in her hands that has responded partially to ibuprofen. She was adopted and family history is unknown. She has two teenaged children who are well. She appears uncomfortable. She is 170 cm (5 ft 7 in) tall and weighs 68 kg(150 lb); BMI is 24 kg/m2 . Vital signs are temperature 37.7°C (99.8°F), pulse 90/min, respirations 20/min, and blood pressure 110/70 mm Hg. The patient is alert and fully oriented. Physical examination discloses cracking of the skin of both hands that involves the tips and lateral sides of several fingers. The muscles of the upper arms and legs are somewhat tender to pressure. Results of serum laboratory studies show a creatine kinase concentration of 600 U/L and a lactate dehydrogenase concentration of 800 U/L. Results of complete blood count are within the reference ranges. Which of the following is the most likely diagnosis?

A. Fibromyalgia
B. Myasthenia gravis
C. Polymyositis
D. Scleroderma",Polymyositis,C,Professional Medicine
"Performance enhancing synthetic steroids are based on the structure of the hormone:

A. testosterone.
B. cortisol.
C. progesterone.
D. aldosterone.",testosterone.,A,Clinical Knowledge
"A fundamental cause of fatigue in high intensity exercise is:

A. a fall in the cell concentration of ADP.
B. inhibition of ATP production.
C. failure of the ATP supply to match the demand.
D. lack of skill.",failure of the ATP supply to match the demand.,C,Clinical Knowledge
"Loss of somatic sensation over the anterior two-thirds of the tongue indicates damage to the

A. lingual branch of the mandibular trigeminal nerve.
B. chorda tympani branch of the facial nerve.
C. lingual branch of the glossopharyngeal nerve.
D. hypoglossal nerve.",lingual branch of the mandibular trigeminal nerve.,A,Anatomy
"A 64-year-old male presents to the emergency room with a bloody nose that has been dripping out his nares for the past 2 hours. He denies any trauma, recent upper respiratory illness, or history of prior bloody nose. Past medical history is unremarkable, and he takes no medications. He has a blood pressure of 180/90 mmHg. Examination of the nasal passages reveals that the site of the bleeding is on the septal mucosa of the right naris. The most appropriate next step in management includes

A. anterior packing
B. placing an ice compress over the nose
C. catheter balloon tamponade
D. pinching the nares together for 5 minutes",pinching the nares together for 5 minutes,D,Professional Medicine
"Which of the following allows air to pass into the lungs?

A. Aorta
B. Esophagus
C. Trachea
D. Pancreas",Trachea,C,Anatomy
"A 67-year-old woman comes to the physician because of easy bruising for 4 months. She has a history of lung cancer treated with radiation therapy 6 months ago. She has a 2-year history of hypertension treated with a thiazide diuretic and an angiotensin-converting enzyme (ACE) inhibitor. Examination, including neurologic examination, shows no abnormalities except for multiple ecchymoses. Her hemoglobin concentration is 13 g/dL, leukocyte count is 5000/mm3 , and platelet count is 35,000/mm3 . A serum antiplatelet antibody assay is negative. Which of the following is the most appropriate next step in diagnosis?

A. CT scan of the abdomen
B. CT scan of the chest
C. Bronchoscopy
D. Bone marrow aspiration",Bone marrow aspiration,D,Professional Medicine
"A 52-year-old man is admitted to the hospital because of severe dyspnea and cough productive of tenacious, brownishyellow sputum for the past 3 weeks. He has a 15-year career history of sandblasting old buildings. He has smoked two packs of cigarettes daily for the past 30 years. The patient is 168 cm (5 ft 6 in) tall and weighs 59 kg (130 lb); BMI is 21 kg/m2 . Vital signs are temperature 36.8°C (98.2°F), pulse 94/min, and blood pressure 150/92 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 70%. On physical examination he is in moderately severe distress with pursed lips and cyanotic nail beds. Chest has an increased anteroposterior diameter. Auscultation of the chest discloses scattered wheezes and rhonchi over all lung fields. Cardiac examination discloses muffled heart sounds and an S4. Fingers are clubbed. Chest x-ray shows hyperinflated lungs, flattened diaphragm, large, irregular opacities in the upper lobes, and eggshell calcifications of the hilar lymph nodes. In addition to antibiotic therapy, which of the following is the most appropriate intervention?

A. Azathioprine therapy
B. Bronchoscopy
C. Continuous humidified oxygen
D. Nocturnal continuous positive airway pressure (CPAP)",Continuous humidified oxygen,C,Professional Medicine
"A 3-year-old boy with chronic granulomatous disease is brought to the physician because of a 3-week history of fever and warm, red lumps under both arms. His temperature is 38°C (100.4°F). Physical examination shows enlarged, 3-cm, erythematous axillary lymph nodes bilaterally. On palpation, the nodes are tender, fluctuant, and movable. Examination of a fine-needle aspirate from one of the nodes shows gram-positive cocci in clusters. Cultures of the aspirate grow yellow, βhemolytic colonies that are catalase and coagulase positive. A polymerase chain reaction test shows mecA-positive organisms. Which of the following is the most appropriate pharmacotherapy for this patient?

A. Ciprofloxacin
B. Penicillin G
C. Rifampin
D. Vancomycin",Vancomycin,D,Professional Medicine
"The two principal contractile proteins found in skeletal muscle are:

A. actin and troponin.
B. actin and myosin.
C. troponin and tropomyosin.
D. myosin and tropomyosin.",actin and myosin.,B,Clinical Knowledge
"Why might you choose to use a silicone catheter (as of 2020 medical knowledge)?

A. Because the patient does not like the others.
B. Because the patient is allergic to latex.
C. Because there are no other kinds of catheter at your disposal.
D. Because it is cheaper.",Because the patient is allergic to latex.,B,Clinical Knowledge
"Endurance training increases the muscle's capacity to:

A. contract faster.
B. break down phosphocreatine.
C. burn fat and carbohydrate.
D. generate energy anaerobically.",burn fat and carbohydrate.,C,Clinical Knowledge
"The cardiac cycle consists of the phases:

A. systole, diastole, and rest.
B. contraction, relaxation, and rest.
C. diastole and systole.
D. diastole, systole, and contraction.",diastole and systole.,C,Clinical Knowledge
"Which of the following drugs is most commonly responsible for patients who present with acute confusion?

A. Heroin (opiates).
B. Ecstasy.
C. Alcohol.
D. Cannabis.",Alcohol.,C,Clinical Knowledge
"A 44-year-old female presents to the office for evaluation of a lump on her neck that she noted 1 week ago. She denies any tenderness, fever, weight loss, or fatigue. Physical examination reveals a 2-cm freely movable mass in the lower left lobe of the thyroid. In addition to thyroid-stimulating hormone and free thyroxine levels, the most appropriate initial method to investigate this lesion is

A. a nuclear thyroid scan
B. an iodine131 scan
C. fine-needle aspiration
D. ultrasonography of the thyroid gland",ultrasonography of the thyroid gland,D,Professional Medicine
"A 3-year-old girl is brought to the physician because of fever and left ear pain for 3 days. She has been treated with amoxicillin for the past 5 days for left otitis media. Her temperature is 38.5°C (101.3°F), pulse is 100/min, respirations are 20/min, and blood pressure is 80/60 mm Hg. Examination shows the left ear displaced forward and laterally from the head. There is edema and tenderness behind the left ear. Otoscopic examination shows a red, dull, left tympanic membrane that does not move. Which of the following is the most likely diagnosis?

A. Acoustic neuroma
B. Labyrinthitis
C. Lateral sinus thrombosis
D. Mastoiditis",Mastoiditis,D,Professional Medicine
"Which of the following is true about rectal bleeding?

A. A painful digital examination suggests an anal fissure
B. Bright red blood on the finger usually signifies a caecal lesion
C. Proctoscopy is of no value in the assessment of rectal bleeding
D. Rectal cancer is the commonest cause of rectal bleeding",A painful digital examination suggests an anal fissure,A,Clinical Knowledge
"An ileostomy opening should be:

A. flush with the skin.
B. 3-5cm in length.
C. below skin level.
D. over 5cm in length.",3-5cm in length.,B,Clinical Knowledge
"How much toothpaste is recommended for cleaning teeth?

A. A smear.
B. A pea-sized amount.
C. The length of the toothbrush.
D. Half an inch.",A pea-sized amount.,B,Clinical Knowledge
"A 45-year-old man comes to the physician because of right shoulder pain that began after he chopped wood 2 days ago. Examination of the right upper extremity shows no obvious bone deformities or point tenderness. The pain is reproduced when the patient is asked to externally rotate the shoulder against resistance; there is no weakness. In addition to the teres minor, inflammation of which of the following tendons is most likely in this patient?

A. Infraspinatus
B. Pectoralis
C. Subscapularis
D. Supraspinatus",Infraspinatus,A,Professional Medicine
"A 54-year-old woman comes to the office because she has had intermittent shooting pain over her right cheek and jaw during the past 3 weeks. Each episode of pain lasts for 1 second or less. The pain is often triggered by cold air, chewing, tactile stimulation, and brushing her teeth. She has had no trauma to the face or head. Medical history is remarkable for tension headaches, obesity, and gastric bypass surgery. She is 165 cm (5 ft 5 in) tall and weighs 62 kg (137 lb); BMI is 23 kg/m2 . Vital signs are normal. The patient cannot tolerate touch over the right side of the face. There is no facial weakness or loss of sensation. The remainder of the physical examination shows no abnormalities. CT scan of the head with and without contrast shows no abnormalities. Which of the following is the most appropriate pharmacotherapy at this time?

A. Carbamazepine
B. Lamotrigine
C. Levetiracetam
D. Topiramate",Carbamazepine,A,Professional Medicine
"In a patient with a normal healthy mouth, you would expect the mucosa covering the alveolar process supporting the mandibular teeth to be

A. light pink in colour on both sides of the mucogingigival junction.
B. light pink below the mucogingival junction and red above it.
C. red below the mucogingival junction and light pink above it.
D. red on both sides of the mucogingival junction.",red below the mucogingival junction and light pink above it.,C,Anatomy
"A 45-year-old man with AIDS comes to the community health center because of a 1-week history of fever, chills, sweating, mild shortness of breath, and nonproductive cough. Medical history is also remarkable for pneumonia 3 years ago that required hospitalization. Today, he says that he lost his job 6 months ago, is now homeless, and cannot afford to buy his antiretroviral medications. Vital signs are temperature 38.6°C (101.5°F), pulse 82/min, respirations 20/min, and blood pressure 116/72 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. The health center is very busy with several patients waiting to be evaluated. Which of the following is the most appropriate next step?

A. Arrange a direct admission to the hospital for this patient
B. Continue with obtaining a thorough history and examining this patient
C. Place masks on the patient and yourself and then continue to evaluate him
D. Send this patient for chest x-rays, and while they are being obtained examine the next patient",Place masks on the patient and yourself and then continue to evaluate him,C,Professional Medicine
"What is hypochlorhydria?

A. Increased amount of gastric acid.
B. Gastric ulceration.
C. Reduced amount of gastric acid.
D. Pernicious anaemia.",Reduced amount of gastric acid.,C,Clinical Knowledge
"A 4-year-old boy with cystic fibrosis is brought to the emergency department 20 minutes after being found unconscious in his yard by his parents. He had been playing outside all afternoon; the outside temperature was 95°F. He had been feeling well lately with no recent acute exacerbations of cystic fibrosis. On arrival, he responds to pain but speech is incoherent. His temperature is 41.2°C (106.2°F), pulse is 148/min, respirations are 36/min and shallow, and blood pressure is 88/46 mm Hg. His skin is hot and dry. The lungs are clear to auscultation. Muscle tone is poor; deep tendon reflexes are diminished throughout. Neurologic examination shows no focal abnormalities. Which of the following is the most likely underlying mechanism for these findings?

A. Adrenal insufficiency with salt wasting
B. Impaired sweat gland function with reduced ability to regulate heat loss
C. Invasion of the central nervous system by gram-negative organisms
D. Mucous plugging of the airway resulting in secondary infection with Pseudomonas species",Impaired sweat gland function with reduced ability to regulate heat loss,B,Professional Medicine
"The normal respiratory rate for an adult male is:

A. 10-12 breaths per minute.
B. 8-10 breaths per minute.
C. 20-22 breaths per minute.
D. 14-16 breaths per minute.",14-16 breaths per minute.,D,Clinical Knowledge
"Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?

A. Unilateral constricted pupil.
B. Bilateral constricted pupils.
C. Unilateral fixed dilated pupil.
D. Oval shaped pupils.",Unilateral fixed dilated pupil.,C,Clinical Knowledge
"What is the embryological origin of the hyoid bone?

A. The first pharyngeal arch
B. The first and second pharyngeal arches
C. The second pharyngeal arch
D. The second and third pharyngeal arches",The second and third pharyngeal arches,D,Anatomy
"Which of the following is thought to be implicated in the development of peripheral muscle fatigue during multiple sprint activities?

A. An accumulation of inorganic phosphate.
B. Development of hyperosmolality in the muscles.
C. An excess of antioxidants.
D. A lack of potassium.",An accumulation of inorganic phosphate.,A,Clinical Knowledge
"A 57-year-old man comes to the emergency department because of cramping in his hands and feet and numbness and tingling around his lips and in his fingers; these symptoms occurred intermittently for 6 months but have been progressively severe during the past 2 weeks. He also has had a 13-kg (30-lb) weight loss and bulky, foul-smelling stools that do not flush easily. He has a 10-year history of drinking 8 to 10 beers daily. He has been hospitalized twice for severe abdominal pain 4 and 6 years ago. His pulse is 80/min, and blood pressure is 105/65 mm Hg. He appears cachectic and chronically ill. The abdomen is nontender. Deep tendon reflexes are 4+ bilaterally. Chvostek and Trousseau signs are present. His serum calcium concentration is 6.5 mg/dL. Which of the following is the most likely diagnosis?

A. Hypomagnesemia
B. Hypoparathyroidism
C. Osteomalacia
D. Vitamin D deficiency",Vitamin D deficiency,D,Professional Medicine
"Why should the short-acting bronchodilator be taken first?

A. It works to dilate the airways quickly, allowing better deposition of other medications.
B. They are colour-coded.
C. It is warmer than the others.
D. It is less moist than the others.","It works to dilate the airways quickly, allowing better deposition of other medications.",A,Clinical Knowledge
"Which of the following is true about an abdominal mass?

A. A pulsatile mass is always due to an aortic aneurysm
B. An enlarged kidney is dull to percussion
C. A large mass arising out of the pelvis which disappears following urethral catheterization is caused by an ovarian cyst
D. An indentible mass is caused by faecal loading of the colon",An indentible mass is caused by faecal loading of the colon,D,Clinical Knowledge
"An epidemic involving 10 individuals of all ages occurs in a migrant worker camp. None of the patients has had any form of immunization. Most cases present with fever, chills, tachypnea, sore throat, swollen glands, and severe malaise. One patient dies from respiratory complications, and another dies from myocardial involvement. A gram-positive rod is isolated from the respiratory tracts of 7 of the patients. The most likely cause of the outbreak is

A. Bordetella pertussis
B. Corynebacterium diphtheriae
C. Epstein-Barr virus
D. Haemophilus influenzae",Corynebacterium diphtheriae,B,Professional Medicine
"A 77-year-old female presents to the office for evaluation of a syncopal event that occurred while she was walking. Cardiac examination reveals a grade 3/6 systolic murmur, heard best at the right upper sternal border. There is radiation of the murmur into the neck. The valvular abnormality that most likely caused this episode is

A. aortic insufficiency
B. aortic stenosis
C. mitral regurgitation
D. mitral stenosis",aortic stenosis,B,Professional Medicine
"A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following:

A. 930
B. 93
C. 9.3
D. 0.93",0.93,D,Clinical Knowledge
"A 5-year-old boy is admitted to the hospital because of a 1-week history of fever and increasingly severe abdominal discomfort. At the age of 7 months, he was treated for osteomyelitis caused by Aspergillus fumigatus. He has been admitted to the hospital three times during the past 4 years for severe pneumonia. He appears moderately ill. His temperature is 39°C (102.2°F). Abdominal examination shows an enlarged, tender liver. Ultrasonography of the abdomen shows an intrahepatic abscess. Culture of the abscess fluid grows Staphylococcus aureus. Further analysis shows failure of the neutrophils to undergo an oxidative burst when exposed to S. aureus. This patient has an increased susceptibility to infection as a result of which of the following abnormalities?

A. Failure of leukocytes to migrate between endothelial cells
B. Failure of leukocytes to roll along the endothelial surface
C. Inability of leukocytes to ingest microorganisms
D. Inability of leukocytes to kill intracellular microorganisms",Inability of leukocytes to kill intracellular microorganisms,D,Professional Medicine
"A 55-year-old man comes to the physician because of a 2-week history of recurrent, widespread blister formation. Physical examination shows lesions that are most numerous in the flexural areas including the axillae and groin. The blisters do not break easily, and there are no oral lesions. These blisters are most likely the result of adhesion failure involving which of the following?

A. Basement membrane
B. Dermal papillae
C. Langerhans cells
D. Melanocytes",Basement membrane,A,Professional Medicine
"What must you ensure before a speaking valve is used?

A. That the patient is able to swallow properly.
B. It is seven days after the tracheostomy tube was first inserted.
C. The cuff is deflated.
D. The cuff is inflated.",The cuff is deflated.,C,Clinical Knowledge
"The respiratory tract is crossed by the isthmus of the thyroid gland at the level of the

A. thyroid cartilage.
B. cricothyroid membrane.
C. cricoid cartilage.
D. tracheal rings.",tracheal rings.,D,Anatomy
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?

A. Afferent arteriole
B. Glomerulus
C. Loop of Henle
D. Renal pelvis",Glomerulus,B,Anatomy
"A 46-year-old woman with active ankylosing spondylitis comes to the office for a follow-up examination. The use of various conventional nonsteroidal anti-inflammatory drugs has been ineffective. Sulfasalazine treatment also has not resulted in improvement. The most appropriate next step in treatment is administration of a drug that inhibits which of the following?

A. Cytotoxic T-lymphocyte antigen 4
B. Epidermal growth factor
C. Interleukin-1 (IL-1)
D. Tumor necrosis factor α",Tumor necrosis factor α,D,Professional Medicine
"The energy released from the breakdown of the high-energy phosphates, ATP and phosphocreatine, can sustain maximal exertion exercise for about:

A. 1-2 seconds.
B. 5-10 seconds.
C. 30-40 seconds.
D. 50-60 seconds.",5-10 seconds.,B,Clinical Knowledge
"Which potential complication of IV therapy is described thus: 'Leakage of vesicant (irritant) medication or fluid into surrounding tissues, causing tissue damage'?

A. Extravasation.
B. Phlebitis.
C. Inflammation.
D. Infiltration.",Extravasation.,A,Clinical Knowledge
"When recording peak flow results, within how many litres/minute should the three readings be?

A. 10 litres per minute of each other.
B. 20 litres per minute of each other.
C. 100 litres per minute of each other.
D. 30 litres per minute of each other.",20 litres per minute of each other.,B,Clinical Knowledge
"If the foot is abducted, it is moved in which direction?

A. Inward
B. Outward
C. Upward
D. Downward",Downward,D,Anatomy
"A 31-year-old woman, gravida 3, para 2, who is at 32 weeks' gestation, is admitted to the hospital because of a 1-week history of progressive dyspnea and wheezing. She says her heart is ""racing"" and she is coughing up a small amount of bloodstreaked sputum. Medical history is significant for hypothyroidism, for which she takes levothyroxine. An intravenous catheter is placed. Vital signs are temperature 36.9°C (98.4°F), pulse 132/min, respirations 32/min, and blood pressure 135/78 mm Hg. Pulse oximetry on 100% oxygen via nasal cannula shows an oxygen saturation of 92%. Auscultation of the lungs discloses decreased breath sounds at the bases with expiratory crackles bilaterally. Cardiac examination discloses an irregularly irregular rhythm, an indistinct point of maximal impulse, and a loud S1. A grade 3/6, low-pitched, diastolic, rumbling murmur is audible at the apex; a distinct snapping sound precedes the murmur. Fetal heart rate is 144/min. Which of the following is the most likely cause of the findings in this patient?

A. Chronic mitral regurgitation secondary to rheumatic heart disease
B. Coarctation of the aorta
C. Congenital aortic stenosis
D. Mitral stenosis complicated by atrial fibrillation",Mitral stenosis complicated by atrial fibrillation,D,Professional Medicine
"A 27-year-old nurse comes to the emergency department because of nervousness, dizziness, palpitations, and excess perspiration for the past 3 hours. She has had similar episodes over the past 6 months. The symptoms improve following ingestion of orange juice or soft drinks. She says that she has had a great deal of stress. She has been drinking two alcoholic beverages daily for the past month; before this time, she seldom drank alcohol. Examination shows no abnormalities. Her serum glucose concentration is 30 mg/dL. Intravenous glucose is administered, and the patient's symptoms improve. Which of the following is the most appropriate next step in diagnosis?

A. Measurement of serum proinsulin and insulin antibodies
B. Measurement of serum cortisol and ACTH concentrations
C. Measurement of serum growth hormone and plasma somatomedin-C concentrations
D. Measurement of serum insulin and C-peptide concentrations",Measurement of serum insulin and C-peptide concentrations,D,Professional Medicine
"A 25-year-old woman comes to the office because of a 6-month history of increasingly severe low back pain and heavy menses. Her temperature is 37.1°C (98.8°F), pulse is 75/min, respirations are 13/min, and blood pressure is 115/79 mm Hg. Physical examination shows no abnormalities. An endometrial biopsy specimen shows regular tubular endometrial glands with abundant mitotic figures in the endometrial glands and stroma. Which of the following proteins or enzymes regulate the progression of cells into this phase of this patient's menstrual cycle?

A. AMP-dependent kinases
B. Cyclin-dependent kinases
C. Hexokinases
D. Lipid kinases",Cyclin-dependent kinases,B,Professional Medicine
"A 22-year-old man comes to the physician for a routine health maintenance examination. He feels well. He has had a painless left scrotal mass since childhood. Examination shows a 6-cm, soft, nontender left scrotal mass that transilluminates; there are no bowel sounds in the mass. Examination of the testis shows no abnormalities. Which of the following is the most likely cause of the mass?

A. Accumulation of scrotal adipose tissue
B. Cryptorchidism of the left testis
C. Dilation of the pampiniform plexus of veins around the testis
D. Persistence of a patent processus vaginalis",Persistence of a patent processus vaginalis,D,Professional Medicine
"A 42-year-old woman is brought to the emergency department 10 minutes after being involved in a high-speed motor vehicle collision in which she was a restrained passenger. On arrival, she has shortness of breath and abdominal pain. Her pulse is 135/min, respirations are 30/min, and blood pressure is 80/40 mm Hg. Breath sounds are decreased at the left lung base. An x-ray of the chest shows opacification of the left lower lung field with loss of the diaphragmatic shadow. Placement of a chest tube yields a small amount of air followed by greenish fluid. Which of the following is the most appropriate next step in management?

A. CT scan of the abdomen
B. CT scan of the chest
C. Thoracoscopy
D. Laparotomy",Laparotomy,D,Professional Medicine
"Which of the following is the point at which an impulse is transmitted from one neuron to another neuron?

A. Dendrite
B. Glial cell
C. Nerve center
D. Synapse",Synapse,D,Anatomy
"Which of the following is true of hypothyroidism?

A. Weight loss
B. Pre-tibial myxoedema
C. A raised TSH level
D. An aversion to warm places",A raised TSH level,C,Clinical Knowledge
"What is the difference between a male and a female catheter?

A. Male and female catheters are different colours.
B. Male catheters are longer than female catheters.
C. Male catheters are bigger than female catheters.
D. Female catheters are longer than male catheters.",Male catheters are longer than female catheters.,B,Clinical Knowledge
"A 33-year-old man undergoes a radical thyroidectomy for thyroid cancer. During the operation, moderate hemorrhaging requires ligation of several vessels in the left side of the neck. Postoperatively, serum studies show a calcium concentration of 7.5 mg/dL, albumin concentration of 4 g/dL, and parathyroid hormone concentration of 200 pg/mL. Damage to which of the following vessels caused the findings in this patient?

A. Branch of the costocervical trunk
B. Branch of the external carotid artery
C. Branch of the thyrocervical trunk
D. Tributary of the internal jugular vein",Branch of the thyrocervical trunk,C,Professional Medicine
"Who is the publication Your guide to the NHS written for?

A. GPs.
B. Patient lobby groups.
C. The general public.
D. Patients admitted to hospital.",The general public.,C,Clinical Knowledge
"If a patient is cyanosed, what might their oxygen saturation level be?

A. 98% or above.
B. 94% or above.
C. 80% or below.
D. 85% or above.",80% or below.,C,Clinical Knowledge
"A previously healthy 14-year-old girl is brought to the physician because of a 2-day history of fever and pain and swelling of the right knee. She remembers injuring the knee while playing soccer last week, but she was able to finish the game. She has no history of rash or joint pain. Her sister has inflammatory bowel disease. The patient's temperature is 39°C (102.2°F), blood pressure is 110/80 mm Hg, pulse is 95/min, and respirations are 20/min. Examination of the right knee shows swelling, tenderness, warmth, and erythema; range of motion is limited. Which of the following is the most appropriate next step in management?

A. Nuclear scan of the right knee
B. MRI of the right knee
C. Antibiotic therapy
D. Arthrocentesis",Arthrocentesis,D,Professional Medicine
"Which of the following bones has a process that joins with the zygomatic bone to form the zygomatic arch?

A. The maxillary bone
B. The temporal bone
C. The sphenoid bone
D. The frontal bone",The temporal bone,B,Anatomy
"Which of the following is flexible connective tissue that is attached to bones at the joints?

A. Adipose
B. Cartilage
C. Epithelial
D. Muscle",Cartilage,B,Anatomy
"A 62-year-old man comes to the physician because of a 2-month history of progressive fatigue and ankle swelling. He had an anterior myocardial infarction 3 years ago and has had shortness of breath with mild exertion since then. Current medications include labetalol and daily aspirin. He has smoked one-half pack of cigarettes daily for 30 years. His pulse is 100/min and regular, respirations are 20/min, and blood pressure is 130/75 mm Hg. There are jugular venous pulsations 5 cm above the sternal angle. Crackles are heard at both lung bases. Cardiac examination shows an S3 gallop. There is edema from the midtibia to the ankle bilaterally. Further evaluation of this patient is most likely to show which of the following findings?

A. Decreased pulmonary capillary wedge pressure
B. Impaired contractility of the left ventricle
C. Prolapse of the mitral valve
D. Thrombosis of the superior vena cava",Impaired contractility of the left ventricle,B,Professional Medicine
"What is cardiac output?

A. Stroke volume × heart rate.
B. Systemic vascular resistance × heart rate.
C. Blood pressure × heart rate.
D. Preload × stroke volume.",Stroke volume × heart rate.,A,Clinical Knowledge
